max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column,strain,source_file,condition,sample
63,51,75,12,0.3260828069911894,5.564376896197985,-2.488538493441503,-4.303712200393445,GLUGLU_log_sample1,YET784,YET784_DATA_1312.xlsx,GLUGLU,sample1
62,50,74,12,0.32551644761034726,5.466746998657201,-2.5306913849300283,-4.310919539179148,GLUGLU_log_sample2,YET784,YET784_DATA_1312.xlsx,GLUGLU,sample2
78,61,95,17,0.23893742865147716,6.768492431865031,-2.486398413160025,-4.1042917480107795,GALGAL_log_sample1,YET784,YET784_DATA_1312.xlsx,GALGAL,sample1
77,60,94,17,0.23758175639891665,6.534382760872864,-2.4988754380488487,-4.051946799904568,GALGAL_log_sample2,YET784,YET784_DATA_1312.xlsx,GALGAL,sample2
95,78,112,17,0.22551801029338547,8.596037491042395,-2.5337249068278602,-4.473061913017562,RAFRAF_log_sample1,YET784,YET784_DATA_1312.xlsx,RAFRAF,sample1
98,81,115,17,0.22453584555001482,8.934378987149254,-2.523683095102408,-4.530574191884964,RAFRAF_log_sample2,YET784,YET784_DATA_1312.xlsx,RAFRAF,sample2
125,108,142,17,0.22885953698018469,13.684191443590786,-2.4841623843060283,-5.617173306403259,GLUGAL_log_sample1,YET784,YET784_DATA_1312.xlsx,GLUGAL,sample1
126,108,144,18,0.21867520257919476,13.769896584650654,-2.4797430696041194,-5.492082930691598,GLUGAL_log_sample2,YET784,YET784_DATA_1312.xlsx,GLUGAL,sample2
137,118,156,19,0.19885405000582113,15.166839729527073,-2.4843192539931973,-5.501513637752352,GLURAF_log_sample1,YET784,YET784_DATA_1312.xlsx,GLURAF,sample1
142,121,163,21,0.18142999023321282,15.163328752285809,-2.494036299242548,-5.246219760057083,GLURAF_log_sample2,YET784,YET784_DATA_1312.xlsx,GLURAF,sample2
85,69,101,16,0.2418710011527891,7.586617000086955,-2.4739736550997633,-4.309690591047944,RAFGAL_log_sample1,YET784,YET784_DATA_1312.xlsx,RAFGAL,sample1
84,68,100,16,0.24248552463874684,7.764256978684024,-2.4880959952273107,-4.371569311460051,RAFGAL_log_sample2,YET784,YET784_DATA_1312.xlsx,RAFGAL,sample2
63,52,74,11,0.3556758968973024,5.230653202584393,-2.5190155587236434,-4.380177292605147,GALGLU_log_sample1,YET784,YET784_DATA_1312.xlsx,GALGLU,sample1
60,49,71,11,0.3583140683693513,5.337173074050715,-2.5105813935777888,-4.423730851115272,GALGLU_log_sample2,YET784,YET784_DATA_1312.xlsx,GALGLU,sample2
60,49,71,11,0.34887500052922366,4.917452019023762,-2.5232353822444016,-4.239497963016057,RAFGLU_log_sample1,YET784,YET784_DATA_1312.xlsx,RAFGLU,sample1
56,45,67,11,0.35074776658103923,4.932894412784467,-2.537959950648963,-4.268854006335476,RAFGLU_log_sample2,YET784,YET784_DATA_1312.xlsx,RAFGLU,sample2
118,101,135,17,0.2279110147541265,13.07886799662027,-2.441476710702115,-5.4234875919996295,GALRAF_log_sample1,YET784,YET784_DATA_1312.xlsx,GALRAF,sample1
112,95,129,17,0.23681568322205934,12.78170827254292,-2.530985596331702,-5.559105821729161,GALRAF_log_sample2,YET784,YET784_DATA_1312.xlsx,GALRAF,sample2
