max_growth_rate_index,start_index,end_index,ws,mu,tlag,tzero,c,column,strain,source_file,condition,sample
67,52,82,15,0.26747443684361316,5.737706902393955,-2.4220751385652712,-3.95737918267445,GALGAL_log_sample1,YET937,YET937_DATA_2401.xlsx,GALGAL,sample1
69,55,83,14,0.27571535980197326,5.923465014270241,-2.4368134243879944,-4.070657249602,GALGAL_log_sample2,YET937,YET937_DATA_2401.xlsx,GALGAL,sample2
71,56,86,15,0.2585525199681211,7.497748294141763,-2.4435388053673583,-4.382876255884599,RAFRAF_log_sample1,YET937,YET937_DATA_2401.xlsx,RAFRAF,sample1
74,59,89,15,0.25709071227289026,7.572805569911602,-2.435513672279401,-4.383190720971562,RAFRAF_log_sample2,YET937,YET937_DATA_2401.xlsx,RAFRAF,sample2
118,103,133,15,0.25699548276081563,13.392233727214615,-2.418239420278958,-5.861360240578275,GLUGAL_log_sample1,YET937,YET937_DATA_2401.xlsx,GLUGAL,sample1
118,101,135,17,0.23568320200250115,13.545627857472656,-2.421073129475264,-5.614827577838044,GLUGAL_log_sample2,YET937,YET937_DATA_2401.xlsx,GLUGAL,sample2
132,114,150,18,0.21457756899655292,15.659998561209123,-2.393956971567022,-5.755586044950146,GLURAF_log_sample1,YET937,YET937_DATA_2401.xlsx,GLURAF,sample1
122,103,141,19,0.21069382882824111,14.420787315060698,-2.411271933471276,-5.450858662290673,GLURAF_log_sample2,YET937,YET937_DATA_2401.xlsx,GLURAF,sample2
77,62,92,15,0.2656102812970065,7.339672370170699,-2.346788138144514,-4.297060690034176,RAFGAL_log_sample1,YET937,YET937_DATA_2401.xlsx,RAFGAL,sample1
82,67,97,15,0.2719445359877497,7.969131348925521,-2.41515202291793,-4.583180961402305,RAFGAL_log_sample2,YET937,YET937_DATA_2401.xlsx,RAFGAL,sample2
54,43,65,11,0.367308618380623,4.713309648620813,-2.449870154464233,-4.181802182310342,GALGLU_log_sample1,YET937,YET937_DATA_2401.xlsx,GALGLU,sample1
54,43,65,11,0.3600659535017203,4.428589481816945,-2.4509851304466177,-4.046207513838082,GALGLU_log_sample2,YET937,YET937_DATA_2401.xlsx,GALGLU,sample2
53,42,64,11,0.35707498512003255,4.202459134372744,-2.463700361408705,-3.9648938716865088,RAFGLU_log_sample1,YET937,YET937_DATA_2401.xlsx,RAFGLU,sample1
50,39,61,11,0.3582530977945997,4.507331637810971,-2.4715852212168463,-4.086996907924917,RAFGLU_log_sample2,YET937,YET937_DATA_2401.xlsx,RAFGLU,sample2
